catalog_event_id,begin,end,origin,duration_hours,nearest_other_catalog_gap_hours,isolated_at_48_hours,lstm_static_catalog_coverage,lstm_saocp_catalog_coverage,lstm_coverage_gain,lstm_unrelated_events_in_display,cnn_lstm_static_catalog_coverage,cnn_lstm_saocp_catalog_coverage,cnn_lstm_coverage_gain,cnn_lstm_unrelated_events_in_display,unet_static_catalog_coverage,unet_saocp_catalog_coverage,unet_coverage_gain,unet_unrelated_events_in_display,runet_static_catalog_coverage,runet_saocp_catalog_coverage,runet_coverage_gain,runet_unrelated_events_in_display,minimum_saocp_catalog_coverage,minimum_coverage_gain,mean_coverage_gain,all_saocp_coverages_at_least_0_5,all_saocp_coverages_improve,unrelated_display_events_total,clean_fixed_12h_display,eligible_before_display_filter,eligible,selection_rank,selected
1,2010-01-01 22:04:00,2010-01-03 09:07:00,Chinchilla,35.05,854.2333333,True,0.567759106,0.6454108813,0.07765177524,0,0.9267419559,0.1340105643,-0.7927313917,0,0,0.4580294183,0.4580294183,0,0,0.4275395863,0.4275395863,0,0.1340105643,-0.7927313917,0.04262234704,False,False,0,True,False,False,,False
2,2010-02-07 23:21:00,2010-02-09 06:36:00,Chinchilla,31.25,54.4,True,0.7548500622,0.3080280178,-0.4468220444,0,0.8249123822,0.5053469778,-0.3195654044,0,0.7372452711,0.5311573422,-0.2060879289,0,0.7098818756,0.8153016,0.1054197244,0,0.3080280178,-0.4468220444,-0.2167639133,False,False,0,True,False,False,,False
3,2010-02-11 13:00:00,2010-02-13 03:55:00,FP,38.91666667,18.08333333,False,0.2306124483,0.3791307566,0.1485183084,0,0.9540892434,0.375638444,-0.5784507994,0,0.1549434047,0.8346886724,0.6797452677,0,0,0.3110072091,0.3110072091,0,0.3110072091,-0.5784507994,0.1402049964,False,False,0,True,False,False,,False
4,2010-02-13 22:00:00,2010-02-15 17:30:00,FP,43.5,10.11666667,False,0,0.3463898467,0.3463898467,0,0.9484137612,0.825156539,-0.1232572222,0,0.9490396871,0.7221491507,-0.2268905364,0,0,0.1394841188,0.1394841188,0,0.1394841188,-0.2268905364,0.03393155172,False,False,0,True,False,False,,False
5,2010-02-16 03:37:00,2010-02-16 11:31:00,FP,7.9,10.11666667,False,0,0,0,1,0.5727071378,0,-0.5727071378,1,0,0,0,1,0,0,0,0,0,-0.5727071378,-0.1431767845,False,False,3,False,False,False,,False
6,2010-02-18 15:00:00,2010-02-22 02:30:00,FP,83.5,10.5,False,0.3684931637,0.4838284897,0.115335326,1,0.493903513,0.4971467365,0.003243223553,0,0.1423895542,0.493243992,0.3508544378,0,0.2017761078,0.4757376813,0.2739615735,0,0.4757376813,0.003243223553,0.1858486402,False,True,1,False,False,False,,False
7,2010-02-22 13:00:00,2010-02-22 22:00:00,RC,9,10.5,False,0,0,0,1,0.2359449691,0,-0.2359449691,2,0,0.1542370988,0.1542370988,1,0,0.2753274691,0.2753274691,0,0,-0.2359449691,0.04840489969,False,False,4,False,False,False,,False
8,2010-03-08 06:24:00,2010-03-10 08:04:00,FP,49.66666667,320.4,True,0.3091641555,0.9236027181,0.6144385626,0,1,0.991945783,-0.008054217002,0,0.2753678412,0.7971234899,0.5217556488,0,0,0.7960445749,0.7960445749,0,0.7960445749,-0.008054217002,0.4810461423,True,False,0,True,False,False,,False
9,2010-03-23 22:29:00,2010-03-24 16:49:00,Chinchilla,18.33333333,282.1666667,True,0,0,0,0,0,0.3604599394,0.3604599394,0,0,0.1525410758,0.1525410758,0,0,0,0,0,0,0,0.1282502538,False,False,0,True,False,False,,False
10,2010-04-05 10:59:00,2010-04-06 17:07:00,Chinchilla,30.13333333,74,True,0.8682930863,0.9017143529,0.03342126659,0,0.9331953171,0.8635473912,-0.06964792588,0,0.8129924871,0.9198346239,0.1068421368,0,0.8930894912,0.9989647032,0.105875212,0,0.8635473912,-0.06964792588,0.04412267238,True,False,0,True,False,False,,False
