run,method,split,status,matching,fp_convention,truth_events,predicted_events,static_threshold,tp,fp,fn,precision,recall,f1,saocp_coverage,saocp_lifetime,saocp_policy,block_size,mean_threshold,std_threshold,minimum_threshold,maximum_threshold,family
cnn_lstm_f33_w64,saocp,locked_test,locked_one_to_one,maximum_cardinality_one_to_one_any_positive_overlap,every_unmatched_constructed_event_is_fp,230,246,,175,71,55,0.711382113821,0.760869565217,0.735294117647,0.95,16,positive_singleton,64,0.77470010519,0.153430074453,0.500001370907,1,bce_ablation
cnn_lstm_f33_w64,static,locked_test,locked_one_to_one,maximum_cardinality_one_to_one_any_positive_overlap,every_unmatched_constructed_event_is_fp,230,227,0.9,154,73,76,0.678414096916,0.669565217391,0.673960612691,,,,,,,,,bce_ablation
cnn_lstm_f34_w128,saocp,locked_test,locked_one_to_one,maximum_cardinality_one_to_one_any_positive_overlap,every_unmatched_constructed_event_is_fp,230,242,,171,71,59,0.706611570248,0.74347826087,0.724576271186,0.95,16,positive_singleton,64,0.766292631626,0.165422096848,0.50001001358,1,bce_ablation
cnn_lstm_f34_w128,static,locked_test,locked_one_to_one,maximum_cardinality_one_to_one_any_positive_overlap,every_unmatched_constructed_event_is_fp,230,372,0.86,181,191,49,0.486559139785,0.786956521739,0.601328903654,,,,,,,,,bce_ablation
cnn_lstm_f34_w32,saocp,locked_test,locked_one_to_one,maximum_cardinality_one_to_one_any_positive_overlap,every_unmatched_constructed_event_is_fp,230,212,,168,44,62,0.792452830189,0.730434782609,0.760180995475,0.95,16,positive_singleton,64,0.78135818243,0.164275377989,0.500033557415,1,bce_ablation
cnn_lstm_f34_w32,static,locked_test,locked_one_to_one,maximum_cardinality_one_to_one_any_positive_overlap,every_unmatched_constructed_event_is_fp,230,498,0.74,188,310,42,0.377510040161,0.817391304348,0.516483516484,,,,,,,,,bce_ablation
cnn_lstm_f34_w64,saocp,locked_test,locked_one_to_one,maximum_cardinality_one_to_one_any_positive_overlap,every_unmatched_constructed_event_is_fp,230,229,,170,59,60,0.742358078603,0.739130434783,0.740740740741,0.95,16,positive_singleton,64,0.782718062401,0.158607512712,0.500024497509,1,bce_ablation
cnn_lstm_f34_w64,static,locked_test,locked_one_to_one,maximum_cardinality_one_to_one_any_positive_overlap,every_unmatched_constructed_event_is_fp,230,411,0.82,182,229,48,0.442822384428,0.791304347826,0.567862714509,,,,,,,,,bce_ablation
cnn_lstm,saocp,locked_test,locked_one_to_one,maximum_cardinality_one_to_one_any_positive_overlap,every_unmatched_constructed_event_is_fp,230,229,,170,59,60,0.742358078603,0.739130434783,0.740740740741,0.95,16,positive_singleton,64,0.782718062401,0.158607512712,0.500024497509,1,bce_backbones
cnn_lstm,static,locked_test,locked_one_to_one,maximum_cardinality_one_to_one_any_positive_overlap,every_unmatched_constructed_event_is_fp,230,411,0.82,182,229,48,0.442822384428,0.791304347826,0.567862714509,,,,,,,,,bce_backbones
lstm,saocp,locked_test,locked_one_to_one,maximum_cardinality_one_to_one_any_positive_overlap,every_unmatched_constructed_event_is_fp,230,244,,173,71,57,0.709016393443,0.752173913043,0.729957805907,0.95,16,positive_singleton,64,0.7700304389,0.164958283305,0.50002270937,1,bce_backbones
lstm,static,locked_test,locked_one_to_one,maximum_cardinality_one_to_one_any_positive_overlap,every_unmatched_constructed_event_is_fp,230,324,0.8,167,157,63,0.515432098765,0.726086956522,0.602888086643,,,,,,,,,bce_backbones
runet,saocp,locked_test,locked_one_to_one,maximum_cardinality_one_to_one_any_positive_overlap,every_unmatched_constructed_event_is_fp,230,227,,157,70,73,0.691629955947,0.682608695652,0.687089715536,0.95,16,positive_singleton,64,0.758052527905,0.15802115202,0.50004273653,1,bce_backbones
runet,static,locked_test,locked_one_to_one,maximum_cardinality_one_to_one_any_positive_overlap,every_unmatched_constructed_event_is_fp,230,195,0.9,140,55,90,0.717948717949,0.608695652174,0.658823529412,,,,,,,,,bce_backbones
unet,saocp,locked_test,locked_one_to_one,maximum_cardinality_one_to_one_any_positive_overlap,every_unmatched_constructed_event_is_fp,230,263,,186,77,44,0.707224334601,0.808695652174,0.754563894523,0.95,16,positive_singleton,64,0.746786594391,0.131761536002,0.500055909157,1,bce_backbones
unet,static,locked_test,locked_one_to_one,maximum_cardinality_one_to_one_any_positive_overlap,every_unmatched_constructed_event_is_fp,230,222,0.9,155,67,75,0.698198198198,0.673913043478,0.685840707965,,,,,,,,,bce_backbones
